Samples,Base_DistanceCalculationsCount_Avg,Base_DistanceCalculationsCount_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,TI_IndexingTime_Avg,TI_IndexingTime_Sigma,TI_DistanceCalculationsCount_Avg,TI_DistanceCalculationsCount_Sigma,TI_IndexingTimePercent_Avg,TI_IndexingTimePercent_Sigma,TI_RunTimePercent_Avg,TI_RunTimePercent_Sigma,TI_DistanceCalculationsPercent_Avg,TI_DistanceCalculationsPercent_Sigma,RunTimePercentAvgRatio
10,499900,0,0.044840162300000035,0.006484913969165374,0.037845182199999966,0.0079497201266834367,1.104790000000001E-05,4.4636890696048817E-06,353614.03499999997,37078.444449309864,0.030191006737950214,0.013706913862542398,86.173270277104024,22.20517998905768,70.736954390878196,7.4171723243268319,84.400190050159424
15,749775,0,0.060725473428571437,0.0060342654292556011,0.048991393142857102,0.0077835057818369949,1.8633571428571463E-05,4.1047202444631449E-06,498415.17142857146,48667.939735863707,0.039368771927950338,0.013388662981745809,81.581489293109954,15.914753799816397,66.475298780110194,6.491005933228462,80.676840173973133
20,999600,0,0.076648370400000013,0.0061067775061732551,0.060434490399999978,0.0066138809473045438,2.8376999999999983E-05,4.5444642490200252E-06,633563.10600000003,54854.894237893328,0.04744539460433906,0.0085548010368212933,79.234335730761913,9.9752350025627496,63.381663265306074,5.4876844975883694,78.84641263031989
30,1499100,0,0.11115015566666674,0.0060028925754653066,0.083156241666666686,0.0072124363049578585,5.3826000000000003E-05,7.8719979572828204E-06,879947.69666666666,64228.976024651369,0.065214870215725848,0.010974088659302328,74.99938722593923,7.31240235073495,58.698398817068025,4.2845024364386219,74.814327670442253
50,2497500,0,0.17961598100000006,0.0063559220765167304,0.12580381200000004,0.0090212830124049136,0.00013069299999999998,2.7992751233275378E-05,1316591.2749999999,85800.497037422363,0.10443920233404447,0.024061614459499947,70.109560151251202,5.3865847218293315,52.716367367367347,3.4354553368337277,70.040433651613668
70,3495100,0,0.25442444599999997,0.0073041941036808174,0.16739928399999995,0.010187757925816866,0.00023325333333333345,1.1134230830949572E-05,1692769.8999999999,101287.9091015197,0.13991715847640676,0.011736421416073003,65.843474034999531,4.3412440399063383,48.432660009727897,2.8979974564824942,65.795282895103554
100,4990000,0,0.36156608299999993,0.0065940078217227166,0.22168810599999986,0.010320162373388076,0.00045867100000000007,3.7638110105626088E-05,2195736.2200000002,141081.07197318363,0.2074012498248394,0.020421293711268926,61.32969329778485,3.0020351094000803,44.002729859719466,2.8272759914465664,61.313302442696184
150,7477500,0,0.53354262714285716,0.007828380300610829,0.30179002571428576,0.011865371905097859,0.000627554285714286,0.00038836603147244522,2933064.7714285715,157586.65945148221,0.20852228192060485,0.12827707179395356,56.574789542900298,2.3603821981807069,39.225205903424573,2.1074778930321929,56.563432865783156
200,9960000,0,0.70624767599999994,0.0080851005024122069,0.37089740199999988,0.010720417098105039,0.0023306500000000005,0.001190104489024354,3516480.96,184803.01933017597,0.62625445060101914,0.31199789064503985,52.52043338595643,1.5317713352525166,35.306033734939753,1.8554520013069886,52.516619113094244
300,14910000,0,1.0498302033333333,0.0080853115345896152,0.4960443533333333,0.019745140311579295,0.0041628366666666668,0.00059208469016968615,4542476.3666666662,200656.51760580443,0.84177054466217016,0.13422319914164732,47.249347770328633,1.8386127026538874,30.465971607422311,1.3457848263300092,47.249960208644659
500,24750000,0,1.8286355450000003,0.01993236442666407,0.71921865500000004,0.023594967116013593,0.0109555,0.00038148587474712492,6037328.0499999998,200823.3697921673,1.52520583897955,0.081592631928946113,39.339534678324043,1.4822707863177884,24.393244646464645,0.81140755471582748,39.330891109852075
700,34510000,0,2.83123682,0.027959017811335397,0.93362736666666668,0.02614363660187603,0.022556340000000005,0.00078244583089547742,7166541.4666666668,273501.09807898308,2.4188256957788847,0.13110462993760011,32.978275895295027,0.95734200274810533,20.766564667246207,0.79252708802950789,32.97595453942516
1000,49000000,0,4.4525942900000004,0.032088909180291496,1.2146485099999997,0.027403006477694284,0.051227749999999996,0.0022327775195183836,8887068.3000000007,278247.33081600862,4.2201421215453623,0.22357375635258186,27.280619704195921,0.63520335977979181,18.136874081632648,0.56785169554287462,27.279568514202079
