Samples,Base_DistanceCalculationsCount_Avg,Base_DistanceCalculationsCount_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,TI_IndexingTime_Avg,TI_IndexingTime_Sigma,TI_DistanceCalculationsCount_Avg,TI_DistanceCalculationsCount_Sigma,TI_IndexingTimePercent_Avg,TI_IndexingTimePercent_Sigma,TI_RunTimePercent_Avg,TI_RunTimePercent_Sigma,TI_DistanceCalculationsPercent_Avg,TI_DistanceCalculationsPercent_Sigma,RunTimePercentAvgRatio
10,5810020,0,0.33020571399999976,0.057684812422407791,0.3499084651000004,0.050687133364992309,9.2611000000000035E-06,5.5729197216741208E-06,4845253.068,268821.16215838637,0.0027595398905579595,0.0018872720105299868,113.33655616638524,47.030420355554725,83.394774338126084,4.6268543336922514,105.96681107099214
15,8714955,0,0.44513273814285731,0.022897265599221759,0.45764368071428568,0.02629245722559417,1.5502142857142875E-05,4.7246358846789238E-06,6839485.7757142857,379348.98188301752,0.003396189097754796,0.0010437938657638184,103.07979900641331,7.9104016570691638,78.479874832564107,4.3528507247945383,102.8106093979125
20,11619840,0,0.53443783639999998,0.078299341265676767,0.55794570039999958,0.037176369051207553,2.0971399999999977E-05,4.8848219015661237E-06,8679818.0299999993,466470.74813110061,0.0037726404213843968,0.00089805896024884493,109.25077596794037,35.485187443161372,74.69825772127669,4.01443348730362,104.39861521750589
30,17429460,0,0.72013332699999966,0.046938224786236285,0.72910312599999993,0.036649195463767853,3.7987000000000035E-05,1.8416440533930527E-05,11862060.529999999,603807.30608673615,0.0052224365203988659,0.0025830862645041825,101.83068806984328,10.608926037541785,68.057533222486526,3.4642915276017492,101.24557476562953
50,29048100,0,1.0141059400000001,0.15979170232597018,1.0021231495000003,0.16768672336968904,8.0273999999999957E-05,1.5630832949445377E-05,17229971.515000001,841712.88540061389,0.0085485932664348691,0.0036526773020805624,104.16798550123896,38.600603204453655,59.31531327350153,2.8976521197620988,98.818388688266637
70,40665940,0,1.3149563693333337,0.252714207329299,1.2752960273333327,0.21460321780292557,0.00061934199999999951,0.0058454341187643855,21737263.920000002,1035822.6336944069,0.045019095684019343,0.40781066929751797,104.32885076074123,43.726738589484036,53.453243475989979,2.5471503516072835,96.983904338962333
100,58091200,0,1.8041335739999993,0.38278954397327863,1.7174477599999998,0.25851489110961706,0.00025722000000000001,6.7684478921453518E-05,27215543.800000001,1041641.0012027498,0.015701873439234883,0.0066209550574130192,104.08648168215261,45.823190118822325,46.849684289530941,1.7931132446958395,95.195155433651962
150,87129300,0,2.8264829800000006,0.55909850361151103,2.3021754671428574,0.47780283159958131,0.00073499714285714304,0.00046166584062232234,34930613.557142854,1387144.5419292282,0.033870850200903774,0.021065410324684977,89.70562431200085,45.653686049959433,40.090547677007443,1.592052893721432,81.450179726285029
200,116162400,0,4.1589723779999996,0.045640938333336913,3.1261996879999994,0.055909034466663295,0.0013796100000000001,0.0011181973255546406,41172920.100000001,1766828.0494922248,0.044170222398789941,0.036187448742858092,75.176006542867611,1.5546137243583527,35.444274653416244,1.5209982313487191,75.167599201592949
300,174213600,0,6.124023890000001,0.10560613603673093,4.2248305666666672,0.083584024648940602,0.0025641533333333332,0.00047699484688413872,51255682.866666667,1726103.3055071787,0.060762973580964393,0.011721174573272996,69.013394057868567,1.9950542537659273,29.421171978919361,0.99079710510957741,68.987819815096543
500,290256000,0,10.422627175000001,0.11472195136389483,5.563893835,1.1835298944273369,0.0067239549999999993,0.00069037335015574217,65818061.899999999,2063673.0369092387,0.13110621725737551,0.053213604686051817,53.414127482004005,11.416995619213585,22.675866097513921,0.7109837649899533,53.382834688222452
700,406218400,0,15.52056194,0.16751034182269281,7.7344768266666675,0.080615756550445297,0.013911113333333336,0.0012217377038269634,75876102.733333334,2030154.1983060399,0.17979105059227576,0.014800137741982309,49.841266731919958,0.89006639814313016,18.678647430380636,0.49976913854863286,49.833742209637208
1000,580012000,0,26.594305680000002,0.40522428021622459,10.14959619,0.14046794914146798,0.02956626,0.0011699899412673024,88858992.700000003,2544680.1861038581,0.29128692604895529,0.010251530391353823,38.175664946008069,0.93773287838631991,15.320199013123869,0.43872888597199011,38.164546621846604
