Samples,Base_DistanceCalculationsCount_Avg,Base_DistanceCalculationsCount_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,TI_IndexingTime_Avg,TI_IndexingTime_Sigma,TI_DistanceCalculationsCount_Avg,TI_DistanceCalculationsCount_Sigma,TI_IndexingTimePercent_Avg,TI_IndexingTimePercent_Sigma,TI_RunTimePercent_Avg,TI_RunTimePercent_Sigma,TI_DistanceCalculationsPercent_Avg,TI_DistanceCalculationsPercent_Sigma,RunTimePercentAvgRatio
10,44250,0,0.0058489634999999984,0.00099299141049611641,0.0050935554000000032,0.00062407225187986542,1.1358500000000007E-05,2.7934190282460948E-05,28723.183000000001,3380.3585806308561,0.22739455409989065,0.6102207301308854,87.768799605075245,12.057243543528177,64.911148022598894,7.6392284308041889,87.084752708749235
15,66300,0,0.0076729674285714285,0.00042051698081651547,0.0060940552857142883,0.00055836411829435326,1.7035000000000012E-05,4.4930040197625324E-06,38106.594285714287,4175.5171286352897,0.28204172208643002,0.08180954124570923,79.643307937409446,8.3633528786053031,57.476009480715419,6.2979142211693615,79.422405248615718
20,88300,0,0.0095669712000000049,0.0004458348620048883,0.0070918675999999958,0.00057697502853880443,2.7520399999999992E-05,8.5530938653412903E-06,46168.232000000004,4839.8709751695433,0.39030045508872924,0.12446418147894389,74.274756517213959,6.8025717611667513,52.285653454133623,5.481167582298462,74.128660489748228
30,132150,0,0.013427810666666658,0.00069029865352353856,0.0090632499999999984,0.0011958345068301688,5.9134666666666634E-05,5.0004817810250453E-05,58944.133333333331,5369.0658382509891,0.66042369014259994,0.55628643345509676,67.675860207694271,9.7509647443922969,44.603960146298363,4.0628572366636329,67.496111056277456
50,219250,0,0.021235993999999998,0.00063570747125469998,0.012044296499999996,0.00071005846828247037,0.00014258250000000002,7.0602416743338189E-05,82944.925000000003,7063.5303684279224,1.188845213950575,0.61200970357450468,56.774114261856631,3.8677098073096765,37.831208665906509,3.2216786172989389,56.716424481943235
70,305550,0,0.029350813333333326,0.00078395807685359181,0.015358004666666671,0.00097152821817120076,0.00026759466666666665,5.2321772626964221E-05,104372.56,7771.5745042365343,1.7500383955976841,0.37596034853122218,52.340720185945109,3.2695762525530325,34.158913434789724,2.5434706281251955,52.325652758742436
100,433500,0,0.042354867000000011,0.0045414775695758539,0.019621066,0.00081062853818079418,0.00058227400000000025,0.00026334039561684477,131370.84,7288.2137850204153,2.968192073741132,1.3076326617371021,46.693686981123335,4.0294707820584001,30.304692041522486,1.6812488546759898,46.325410489424968
150,642750,0,0.062674172857142857,0.0020567200627452835,0.02780711857142857,0.0013167358997346822,0.0013275271428571426,0.00031953069387001266,177055.88571428572,9871.7620478199569,4.7930100528335977,1.2276862791561212,44.402798324038002,2.3576476267463229,27.546617769628266,1.5358634068953649,44.367747197575412
200,847000,0,0.080202309999999971,0.0015794829063749359,0.03332554799999999,0.0013827522249514421,0.0023176919999999997,0.00041307923331477023,220934.48000000001,9013.6610271208192,6.956040817880603,1.1885924546048743,41.561662888226401,1.7702860570083703,26.084354191263284,1.0641866619977352,41.551855551292732
300,1240500,0,0.11937999000000001,0.0025102807234622599,0.047596663333333331,0.0019300203099669856,0.0048884233333333334,0.00057387705500774975,305800.53333333333,10588.361439883378,10.295234035220949,1.350159782047849,39.884889785053026,1.791978578386072,24.651393255407765,0.85355594033723325,39.869883833407364
500,1967500,0,0.20942479500000002,0.0030823256736423441,0.074556929999999993,0.0029695983022872559,0.014763680000000001,0.0027046537798861856,493290.5,11526.732505925427,19.823177810519638,3.6674336790834823,35.602429070269167,1.3472707614620194,25.07194409148666,0.58585679826812875,35.600813170188367
700,2614500,0,0.29723060666666673,0.0036544513487891278,0.10578775333333333,0.0018558861413916325,0.028929813333333332,0.00086101583349193446,702462.46666666667,12087.343775717682,27.358339806044647,1.0498281638156224,35.596297645022872,0.76600936083946392,26.867946707464778,0.46231951714353386,35.591137305711733
1000,3435000,0,0.44917463000000002,0.0062214120292654485,0.15760745000000004,0.0055793692071276768,0.055277690000000004,0.0020246030916645807,1056096.8999999999,14966.887395922447,35.137486452598012,2.2838896042091243,35.101515427831842,1.5154328911993804,30.745179039301309,0.43571724587838262,35.088235059045971
